product_line,date,new_ai_users
篮球,2026-01-31,0
篮球,2026-02-01,1
篮球,2026-02-02,0
篮球,2026-02-03,0
篮球,2026-02-04,0
篮球,2026-02-05,4
篮球,2026-02-06,0
篮球,2026-02-07,1
篮球,2026-02-08,2
篮球,2026-02-09,0
篮球,2026-02-10,0
篮球,2026-02-11,2
篮球,2026-02-12,0
篮球,2026-02-13,0
篮球,2026-02-14,0
篮球,2026-02-15,4
篮球,2026-02-16,0
篮球,2026-02-17,0
篮球,2026-02-18,0
篮球,2026-02-19,0
篮球,2026-02-20,0
篮球,2026-02-21,0
篮球,2026-02-22,0
篮球,2026-02-23,0
篮球,2026-02-24,0
篮球,2026-02-25,0
篮球,2026-02-26,0
足球,2026-01-31,4
足球,2026-02-01,0
足球,2026-02-02,2
足球,2026-02-03,0
足球,2026-02-04,1
足球,2026-02-05,0
足球,2026-02-06,4
足球,2026-02-07,0
足球,2026-02-08,0
足球,2026-02-09,0
足球,2026-02-10,0
足球,2026-02-11,2
足球,2026-02-12,0
足球,2026-02-13,0
足球,2026-02-14,0
足球,2026-02-15,0
足球,2026-02-16,0
足球,2026-02-17,0
足球,2026-02-18,0
足球,2026-02-19,2
足球,2026-02-20,0
足球,2026-02-21,0
足球,2026-02-22,4
足球,2026-02-23,0
足球,2026-02-24,0
足球,2026-02-25,1
足球,2026-02-26,0
