product_line,date,feature_id,task_cnt
篮球,2026-02-19,19,2
篮球,2026-02-19,3,0
篮球,2026-02-19,2,0
篮球,2026-02-19,5,2
篮球,2026-02-19,8,1
篮球,2026-02-20,19,0
篮球,2026-02-20,3,0
篮球,2026-02-20,2,0
篮球,2026-02-20,5,2
篮球,2026-02-20,8,0
篮球,2026-02-21,19,2
篮球,2026-02-21,3,2
篮球,2026-02-21,2,2
篮球,2026-02-21,5,0
篮球,2026-02-21,8,2
篮球,2026-02-22,19,1
篮球,2026-02-22,3,0
篮球,2026-02-22,2,0
篮球,2026-02-22,5,0
篮球,2026-02-22,8,0
篮球,2026-02-23,19,0
篮球,2026-02-23,3,2
篮球,2026-02-23,2,2
篮球,2026-02-23,5,0
篮球,2026-02-23,8,2
篮球,2026-02-24,19,0
篮球,2026-02-24,3,2
篮球,2026-02-24,2,2
篮球,2026-02-24,5,2
篮球,2026-02-24,8,2
篮球,2026-02-25,19,1
篮球,2026-02-25,3,0
篮球,2026-02-25,2,1
篮球,2026-02-25,5,2
篮球,2026-02-25,8,1
足球,2026-02-19,19,0
足球,2026-02-19,3,0
足球,2026-02-19,2,2
足球,2026-02-19,5,1
足球,2026-02-19,8,1
足球,2026-02-20,19,1
足球,2026-02-20,3,0
足球,2026-02-20,2,0
足球,2026-02-20,5,1
足球,2026-02-20,8,0
足球,2026-02-21,19,0
足球,2026-02-21,3,1
足球,2026-02-21,2,0
足球,2026-02-21,5,1
足球,2026-02-21,8,1
足球,2026-02-22,19,2
足球,2026-02-22,3,1
足球,2026-02-22,2,0
足球,2026-02-22,5,2
足球,2026-02-22,8,1
足球,2026-02-23,19,2
足球,2026-02-23,3,0
足球,2026-02-23,2,1
足球,2026-02-23,5,0
足球,2026-02-23,8,2
足球,2026-02-24,19,1
足球,2026-02-24,3,2
足球,2026-02-24,2,2
足球,2026-02-24,5,1
足球,2026-02-24,8,2
足球,2026-02-25,19,0
足球,2026-02-25,3,2
足球,2026-02-25,2,0
足球,2026-02-25,5,0
足球,2026-02-25,8,2
